Rk,Player,School,Conf,G,Att,Yds,TD
1,Darrell Henderson*,Memphis,American,13,214,1909,22
2,Greg McCrae*,UCF,American,13,133,1182,10
3,Kennedy Brooks*,Oklahoma,Big 12,11,119,1056,12
4,Reggie Corbin,Illinois,Big Ten,12,128,1085,9
5,Travis Etienne*,Clemson,ACC,15,204,1659,24
6,Ke'Shawn Vaughn*,Vanderbilt,SEC,12,157,1244,12
7,Anthony McFarland,Maryland,Big Ten,12,131,1034,4
8,Darrin Hall*,Pitt,ACC,14,153,1144,10
9,Kyler Murray*,Oklahoma,Big 12,14,140,1001,12
10,Jonathan Taylor*,Wisconsin,Big Ten,13,307,2194,16
11,Michael Carter,North Carolina,ACC,9,84,597,2
12,Pooka Williams,Kansas,Big 12,11,161,1125,7
13,Devine Ozigbo,Nebraska,Big Ten,12,155,1082,12
14,Darwin Thompson*,Utah State,MWC,13,153,1044,14
15,Johnny Ford*,South Florida,American,11,115,787,8
16,Elijah Mitchell*,Louisiana,Sun Belt,13,146,985,13
17,Najee Harris*,Alabama,SEC,15,117,783,4
18,Darrynton Evans*,Appalachian State,Sun Belt,13,179,1187,7
19,Maleek Irons*,Ohio,MAC,11,126,831,8
20,Aca'Cedric Ware,USC,Pac-12,11,125,825,6
21,Taiwan Deal*,Wisconsin,Big Ten,12,82,545,6
22,Trayveon Williams*,Texas A&M,SEC,13,271,1760,18
23,Nico Evans,Wyoming,MWC,10,204,1325,8
24,Kerrith Whyte,Florida Atlantic,CUSA,12,134,866,8
25,D'Andre Swift*,Georgia,SEC,14,163,1049,10
26,Elijah Holyfield*,Georgia,SEC,14,159,1018,7
27,Nathan Rourke*,Ohio,MAC,13,134,860,15
28,Martell Pettaway*,West Virginia,Big 12,12,98,623,6
29,Qadree Ollison*,Pitt,ACC,14,194,1213,11
30,Malcolm Perry,Navy,American,13,172,1087,7
31,Dexter Williams*,Notre Dame,Ind,9,158,995,12
32,Gerold Bright*,Utah State,MWC,13,141,888,10
33,Corey Dauphine*,Tulane,American,13,124,785,7
34,Kylin Hill*,Mississippi State,SEC,11,117,734,4
35,Malik Cunningham,Louisville,ACC,10,79,497,5
36,Lamical Perine*,Florida,SEC,13,134,826,7
37,D'Vonte Price*,Florida International,CUSA,13,90,560,5
38,Aeris Williams*,Mississippi State,SEC,12,85,524,3
39,A.J. Ouellette*,Ohio,MAC,13,213,1306,12
40,Jordan Cronkrite*,South Florida,American,12,184,1121,9
41,Zack Moss*,Utah,Pac-12,9,179,1092,11
42,Scottie Phillips,Ole Miss,SEC,11,153,928,12
43,Torrance Marable,Coastal Carolina,Sun Belt,12,118,719,6
44,D'Eriq King*,Houston,American,11,111,674,14
45,Jordan Mason*,Georgia Tech,ACC,13,108,659,7
46,Tyler King*,Marshall,CUSA,7,108,655,4
47,Christian Gibson,New Mexico State,Ind,11,96,590,6
48,Brenden Knox*,Marshall,CUSA,7,95,578,4
49,Armani Rogers,UNLV,MWC,6,93,565,8
50,LeVante Bellamy*,Western Michigan,MAC,13,205,1228,6
51,Travis Homer*,Miami (FL),ACC,13,164,985,4
52,Bryant Koback*,Toledo,MAC,13,153,917,14
53,Chuba Hubbard*,Oklahoma State,Big 12,13,124,740,7
54,Rakeem Boyd,Arkansas,SEC,12,123,734,2
55,Justice Hill*,Oklahoma State,Big 12,10,158,930,9
56,Jordan Scarlett*,Florida,SEC,13,131,776,5
57,Maurice Washington,Nebraska,Big Ten,11,77,455,3
58,Jermar Jefferson,Oregon State,Pac-12,12,239,1380,12
59,Miles Sanders*,Penn State,Big Ten,13,220,1274,9
60,Trey Sermon*,Oklahoma,Big 12,14,164,947,13
61,Damien Harris*,Alabama,SEC,15,150,876,9
62,Tobias Oliver*,Georgia Tech,ACC,12,152,876,12
63,Salvon Ahmed*,Washington,Pac-12,14,104,608,7
64,Kadin Remsberg,Air Force,MWC,11,100,583,3
65,Gary Brightwell,Arizona,Pac-12,11,91,525,3
66,Trey Ragas*,Louisiana,Sun Belt,14,207,1181,8
67,Mohamed Ibrahim*,Minnesota,Big Ten,10,202,1160,9
68,Patrick Carr*,Houston,American,13,152,868,5
69,Moe Neal*,Syracuse,ACC,13,153,865,5
70,Warren Wand*,Arkansas State,Sun Belt,13,139,792,4
71,Deejay Dallas*,Miami (FL),ACC,13,109,617,6
72,Art Thompkins*,Toledo,MAC,12,98,563,6
73,J.J. Taylor,Arizona,Pac-12,12,255,1434,6
74,Darius Bradwell*,Tulane,American,13,201,1134,11
75,Jaret Patterson*,Buffalo,MAC,13,174,978,14
76,Deandre Torrey*,North Texas,CUSA,13,175,977,15
77,D.J. Knox*,Purdue,Big Ten,13,157,883,8
78,Marcel Murray*,Arkansas State,Sun Belt,13,154,860,8
79,Ronnie Rivers*,Fresno State,MWC,11,132,743,10
80,Tavion Thomas*,Cincinnati,American,7,88,496,6
81,Eno Benjamin*,Arizona State,Pac-12,13,300,1642,16
82,Joshua Kelley,UCLA,Pac-12,11,225,1243,12
83,Mike Weber*,Ohio State,Big Ten,13,172,954,5
84,Kennedy McKoy*,West Virginia,Big 12,12,145,802,8
85,Ty Chandler,Tennessee,SEC,11,115,630,4
86,Marcus Jones*,Northern Illinois,MAC,14,95,527,4
87,Monteo Garrett*,Georgia Southern,Sun Belt,12,93,515,5
88,Antonio Williams,North Carolina,ACC,9,91,504,5
89,Zac Thomas*,Appalachian State,Sun Belt,12,92,504,10
90,Michael Warren II*,Cincinnati,American,12,244,1329,19
91,Ben LeMay,Charlotte,CUSA,12,232,1243,11
92,Larry Rountree III*,Missouri,SEC,13,225,1216,11
93,B.J. Smith*,Troy,Sun Belt,13,219,1186,13
94,David Pindell,Connecticut,American,12,212,1139,10
95,Patrick Taylor Jr.*,Memphis,American,14,208,1122,16
96,Cole Fagan,Air Force,MWC,12,185,997,7
97,Jaquis Dancy*,Louisiana Tech,CUSA,11,124,667,9
98,Rico Dowdle*,South Carolina,SEC,12,123,659,4
99,Vavae Malepeai,USC,Pac-12,12,93,501,8
100,Alex Barnes,Kansas State,Big 12,12,256,1355,12
101,Karan Higdon*,Michigan,Big Ten,11,224,1178,10
102,Wesley Fields*,Georgia Southern,Sun Belt,12,200,1050,9
103,Cade Carney*,Wake Forest,ACC,13,188,1005,8
104,Deon Jackson*,Duke,ACC,13,161,847,7
105,Alonzo Smith,Miami (OH),MAC,11,141,746,9
106,Travis Dye*,Oregon,Pac-12,13,140,739,4
107,AJ Bush,Illinois,Big Ten,10,138,733,8
108,Napoleon Maxwell*,Florida International,CUSA,13,128,684,7
109,Joshua Jacobs*,Alabama,SEC,15,120,640,11
110,Joshua Samuel,Western Kentucky,CUSA,12,121,639,1
111,John Lovett*,Baylor,Big 12,12,109,573,6
112,Jerry Howard*,Georgia Tech,ACC,13,107,564,5
113,JaMycal Hasty*,Baylor,Big 12,11,82,434,4
114,Devin Singletary,Florida Atlantic,CUSA,12,261,1348,22
115,Ryquell Armstead*,Temple,American,10,210,1098,13
116,JaTarvious Whitlow*,Auburn,SEC,13,150,787,6
117,Andrew Clair,Bowling Green State,MAC,11,135,702,5
118,Nick Fitzgerald*,Mississippi State,SEC,12,221,1121,13
119,Marquis Young,Massachusetts,Ind,11,154,778,9
120,Derrick Gore,Louisiana-Monroe,Sun Belt,12,131,662,6
121,Quadraiz Wadley,UTEP,CUSA,12,123,627,7
122,Tra Barnett,Georgia State,Sun Belt,11,109,551,7
123,Mon Denson*,South Carolina,SEC,9,85,430,2
124,Isaiah Woullard,Ole Miss,SEC,12,84,428,4
125,Benjamin Snell Jr.*,Kentucky,SEC,13,289,1449,16
126,Stevie Scott,Indiana,Big Ten,12,228,1137,10
127,Lexington Thomas,UNLV,MWC,12,215,1071,12
128,Tre Harbison*,Northern Illinois,MAC,14,206,1034,5
129,CJ Verdell*,Oregon,Pac-12,13,202,1018,10
130,Travon McMillian,Colorado,Pac-12,12,201,1009,7
131,Juwan Washington*,San Diego State,MWC,9,199,999,10
132,Shai Werts*,Georgia Southern,Sun Belt,13,182,908,15
133,Steven Peoples*,Virginia Tech,ACC,13,158,786,6
134,Keaontay Ingram*,Texas,Big 12,13,142,708,3
135,Marcus Outlow,Coastal Carolina,Sun Belt,10,133,661,8
136,Chaton Mobley*,Middle Tennessee State,CUSA,11,123,617,4
137,Dontae Strickland*,Syracuse,ACC,13,121,599,6
138,Holton Ahlers,East Carolina,American,10,119,592,6
139,Isaih Pacheco,Rutgers,Big Ten,11,111,551,3
140,Markell Jones*,Purdue,Big Ten,13,108,537,5
141,Trivenskey Mosley,Southern Mississippi,CUSA,10,99,494,1
142,Myles Gaskin*,Washington,Pac-12,12,259,1268,12
143,AJ Dillon,Boston College,ACC,10,227,1108,10
144,Kelvin Hopkins Jr*,Army,Ind,12,208,1017,17
145,Toa Taua*,Nevada,MWC,13,178,872,6
146,Matt Colburn*,Wake Forest,ACC,11,159,775,5
147,Adrian Killins*,UCF,American,13,147,715,4
148,Justin Rankin,Kent State,MAC,11,117,574,4
149,Dayton Furuta*,Hawaii,MWC,12,93,459,2
150,Leddie Brown*,West Virginia,Big 12,11,91,446,4
151,Tyler Badie*,Missouri,SEC,12,89,437,2
152,Reggie Gallaspy II*,North Carolina State,ACC,13,228,1093,18
153,Jordan Ellis*,Virginia,ACC,13,215,1026,10
154,Corey Taylor II,Tulsa,American,11,178,846,11
155,Damarea Crockett*,Missouri,SEC,11,147,709,7
156,Jo-El Shaw,Kent State,MAC,9,138,657,7
157,Darius Anderson*,Texas Christian,Big 12,11,124,598,3
158,Kelton Moore*,Nevada,MWC,13,90,433,4
159,Alexander Mattison,Boise State,MWC,13,302,1415,17
160,David Montgomery*,Iowa State,Big 12,12,257,1216,13
161,Kevin Marks*,Buffalo,MAC,14,180,845,13
162,Trace McSorley*,Penn State,Big Ten,13,170,798,12
163,Mekhi Sargent*,Iowa,Big Ten,13,159,745,9
164,Toren Young*,Iowa,Big Ten,13,136,637,5
165,Sewo Olonilua*,Texas Christian,Big 12,13,135,635,2
166,Shakif Seymour*,Toledo,MAC,13,121,565,5
167,Kesean Strong,Old Dominion,CUSA,9,106,499,9
168,Tony Jones Jr.*,Notre Dame,Ind,12,83,392,3
169,Stephen Carr,USC,Pac-12,9,81,384,2
170,Jett Duffey,Texas Tech,Big 12,7,79,369,4
171,J.K. Dobbins*,Ohio State,Big Ten,14,230,1053,10
172,Kevin Mensah,Connecticut,American,12,225,1045,6
173,James Williams*,Washington State,Pac-12,13,122,563,12
174,Marcus Williams Jr.*,Appalachian State,Sun Belt,12,122,561,4
175,Jason Huntley,New Mexico State,Ind,12,109,505,7
176,Jordan Fredericks,Massachusetts,Ind,11,77,356,1
177,Spencer Brown*,UAB,CUSA,14,272,1227,16
178,Frankie Hickson,Liberty,Ind,12,229,1032,11
179,TaQuon Marshall*,Georgia Tech,ACC,12,216,971,11
180,Jamauri Bogan*,Western Michigan,MAC,13,169,764,16
181,Bryce Love*,Stanford,Pac-12,10,166,739,6
182,Clyde Edwards-Helaire*,LSU,SEC,13,146,658,7
183,Caleb Evans,Louisiana-Monroe,Sun Belt,12,140,632,10
184,Adrian Martinez,Nebraska,Big Ten,11,140,629,8
185,Connor Heyward*,Michigan State,Big Ten,13,118,529,5
186,Deshawn McClease*,Virginia Tech,ACC,11,96,433,2
187,Squally Canada*,Brigham Young,Ind,9,91,412,5
188,Romello Ross,Central Michigan,MAC,7,89,402,2
189,Donald Hammond III,Air Force,MWC,8,83,371,9
190,Devwah Whaley,Arkansas,SEC,7,82,368,2
191,Ke'Mon Freemon,SMU,American,8,75,339,6
192,Bryce Perkins*,Virginia,ACC,13,212,923,9
193,Isaiah Bowser*,Northwestern,Big Ten,10,197,866,6
194,Tra Minter,South Alabama,Sun Belt,12,183,801,6
195,Cam Akers,Florida State,ACC,12,161,706,6
196,Shaq Vann*,Eastern Michigan,MAC,11,135,590,5
197,Khalil Herbert,Kansas,Big 12,12,113,499,5
198,Kam Martin*,Auburn,SEC,11,103,458,1
199,Jeremy Cox,Old Dominion,CUSA,9,103,453,5
200,Anthony Gargiulo,Navy,American,13,98,427,0
201,Tayon Fleet-Davis,Maryland,Big Ten,12,75,331,5
202,Nick Brossette*,LSU,SEC,13,240,1039,14
203,Patrick Laird*,California,Pac-12,13,224,964,5
204,Darnell Woolfolk*,Army,Ind,13,221,956,14
205,Izzy Matthews,Colorado State,MWC,12,166,717,4
206,James Gilbert,Ball State,MAC,11,152,659,7
207,Chase Jasmin*,San Diego State,MWC,11,138,592,5
208,Braeden West,SMU,American,12,138,589,6
209,Armand Shyne*,Utah,Pac-12,14,120,512,5
210,Bryce Williams*,Minnesota,Big Ten,13,117,502,4
211,Freddie Holly*,Hawaii,MWC,14,108,468,4
212,Chase Garbers*,California,Pac-12,11,97,421,2
213,Keion Davis*,Marshall,CUSA,9,94,402,3
214,Aaron McAllister,Charlotte,CUSA,12,91,395,2
215,Jordon Brown,North Carolina,ACC,11,81,347,3
216,Da'Leon Ward,Texas Tech,Big 12,10,79,341,3
217,Rico Frye,Bowling Green State,MAC,10,78,338,1
218,Shamari Brooks,Tulsa,American,11,229,967,7
219,Tre Watson*,Texas,Big 12,14,185,786,3
220,Austin Walter,Rice,CUSA,13,133,564,4
221,Ricky Person Jr.*,North Carolina State,ACC,9,112,471,2
222,Peytton Pickett,Liberty,Ind,12,110,457,9
223,Willie Jones III,Texas State,Sun Belt,8,95,402,3
224,Khari Blasingame*,Vanderbilt,SEC,13,96,401,5
225,Shawndarrius Phillips*,Florida International,CUSA,11,94,393,4
226,Riley Neal,Ball State,MAC,9,86,357,5
227,Steven Anderson,Southern Mississippi,CUSA,10,76,318,6
228,Eric Dungey*,Syracuse,ACC,13,184,754,15
229,Raheem Blackshear,Rutgers,Big Ten,12,143,586,3
230,Tyler Nevens,San Jose State,MWC,9,136,554,4
231,Terry Wilson*,Kentucky,SEC,13,135,547,4
232,Jon Hilliman,Rutgers,Big Ten,11,83,337,6
233,Tim Jordan,Tennessee,SEC,12,132,522,3
234,Manny Wilkins*,Arizona State,Pac-12,13,112,452,8
235,Israel Tucker*,Louisiana Tech,CUSA,10,95,377,3
236,Tyler Johnston III*,UAB,CUSA,13,90,359,4
237,Ta'Zhawn Henry,Texas Tech,Big 12,10,86,341,8
238,Dan Ellington,Georgia State,Sun Belt,11,159,625,5
239,Desmond Ridder*,Cincinnati,American,13,149,583,5
240,Isaiah Sanders,Air Force,MWC,8,120,466,6
241,Jordan Mims*,Fresno State,MWC,12,113,436,6
242,Anthony Scott,East Carolina,American,11,103,405,3
243,Tommy Lazzaro,Central Michigan,MAC,7,97,381,3
244,Van Edwards Jr.,Akron,MAC,11,147,558,3
245,Emmanuel Esukpa,Rice,CUSA,8,122,461,3
246,Tyrone Owens,New Mexico,MWC,12,186,687,6
247,B.J. Daniels,UTSA,CUSA,12,87,322,3
248,Skylar Thompson,Kansas State,Big 12,11,105,373,5
249,Anthony Taylor,Texas State,Sun Belt,19,86,312,4
250,Sheriron Jones,New Mexico,MWC,11,79,286,0
251,Jacques Patrick,Florida State,ACC,12,108,378,1
252,Ivory Kelly-Martin*,Iowa,Big Ten,8,97,341,2
253,Kumehnnu Gwilly,Central Michigan,MAC,11,81,285,1
254,Taylor Cornelius*,Oklahoma State,Big 12,13,122,406,10
255,Kellen Mond*,Texas A&M,SEC,13,149,472,7
256,Peyton Ramsey,Indiana,Big Ten,12,111,354,5
257,Feleipe Franks*,Florida,SEC,13,110,350,7
258,Woody Barrett,Kent State,MAC,12,163,503,7
259,Justice Hansen*,Arkansas State,Sun Belt,13,133,414,6
260,Joe Burrow*,LSU,SEC,13,128,399,7
261,Ryan Willis*,Virginia Tech,ACC,12,113,354,4
262,Kai Locksley,UTEP,CUSA,9,111,340,6
263,Daniel Jones*,Duke,ACC,11,104,319,3
264,Brock Purdy*,Iowa State,Big 12,10,100,308,5
265,Garret Lewis,Navy,American,10,87,266,5
266,Ross Comis,Massachusetts,Ind,11,86,255,6
267,Sam Ehlinger*,Texas,Big 12,14,164,482,16
268,Jordan Ta'amu,Ole Miss,SEC,12,116,342,6
269,Ian Book*,Notre Dame,Ind,10,95,280,4
270,Tyler Vitt,Texas State,Sun Belt,9,81,237,2
271,Charlie Brewer*,Baylor,Big 12,13,133,375,7
272,Tyler Huntley*,Utah,Pac-12,9,108,304,4
273,Blake Barnett*,South Florida,American,11,107,301,8
274,Alex Delton,Kansas State,Big 12,7,85,234,2
275,Jonathan Ward,Central Michigan,MAC,9,76,212,1
276,Marcus Childers*,Northern Illinois,MAC,14,194,531,6
277,Cole McDonald*,Hawaii,MWC,13,134,359,4
278,Sam Hartman*,Wake Forest,ACC,9,107,275,2
279,Steven Montez,Colorado,Pac-12,12,94,238,4
280,Zach Abey,Navy,American,11,125,306,14
281,Kato Nelson,Akron,MAC,11,131,303,1
282,Gus Ragland,Miami (OH),MAC,12,92,214,7
283,Brian Lewerke*,Michigan State,Big Ten,11,90,184,2
284,Kenny Pickett*,Pitt,ACC,14,117,221,3
285,J'mar Smith*,Louisiana Tech,CUSA,13,90,159,3
286,Josh Adkins,New Mexico State,Ind,10,86,117,0
287,Jawon Pass,Louisville,ACC,11,76,93,2
288,Brent Stockstill*,Middle Tennessee State,CUSA,14,127,140,2
289,Deondre Francois,Florida State,ACC,11,78,16,3
290,Brett Rypien,Boise State,MWC,13,85,12,0